"deck","title","guid"
"Vinny and Jeff sit down and take a crack at the latest game in the Shin Megami Tensei series. Will they make it through the entire game?","Endurance Run","2340-2"
"Sit back and enjoy as the Giant Bomb team takes an unedited look at the latest video games.","Quick Looks","2340-3"
"The Giant Bomb team punches deck and enters the gridspace to bring you the finest virtual reality round-ups this side of the Pecos, pardner.","VRodeo","2340-4"
"The Giant Bombcast is the world's most beloved video game podcast, and now it's available in video form.","Giant Bombcast","2340-5"
"Join us as the Giant Bomb gang stares down the barrel of a long game of each release in the mainline Mario Party series.","Mario Party Party","2340-6"
"PM your questions to ""Jeff"" on the site to be considered for this series of informal Q&A videos.","Jar Time w/ Jeff","2340-7"
"You've found yourself at the base of Giant Bomb's Old Games.","Old Games","2340-8"
"Join Alex Navarro as he straps in and makes his way through several of the Mega Man games.","Blue Bombin'","2340-9"
"Curated games for the discerning player.","Playdate","2340-10"
"Sometimes we look at a game before it's done. When that's the case? Well... it must be Unfinished.","Unfinished","2340-11"
"The past and the present collide as Giant Bomb digs into the dark world of old demo discs.","Demo Derby","2340-12"
"Every fighting game ever made, ranked and rated into an extremely scientific list by actual* fighting game scientists!","Ranking of Fighters","2340-13"
"The Giant Bomb East team takes on the Yakuza series.","Beast in the East","2340-14"
"Your look into the world of video game movies and the Wonderful Universe of movies with video game themes.","This Ain't No Game","2340-15"
"No, this actually _is_ rocket science, thank you very much.","Kerbal: Project B.E.A.S.T","2340-16"
"Gaming's greatest challenges, met head-on by gaming's greatest game players.","This Is the Run","2340-17"
"Giant Bomb delivers the final word on video games in podcast form.","Reviews","2340-18"
"Vinny Caravella takes on the challenge of playing through each of the Castlevania games and some extras. It's always Belmont O'Clock somewhere!","VinnyVania","2340-19"
"Unearthing the forgotten magnetic media of the video game industry.","Game Tapes","2340-20"
"We got that B-roll.","Game Tapes RAW","2340-21"
"How low will these interns stoop to best each other at The World's Most Popular Facebook Game?","Betting the FarmVille","2340-22"
"We play some of our generation's finest mid-tier game releases.","Bring Your B-Game","2340-23"
"We get the team together to see if we can make it through PlayerUnknown's Battlegrounds.","Murder Island","2340-24"
"Join us as we see who can collect the most Shines, and hold onto them, by the end of the game.","Steal My Sunshine","2340-25"
"Our team has to pass their save files to one another as each of them attempt to successively complete their mission.","The Exquisite Corps","2340-26"
"Join Ben Pack and TKTKTKTK as they engage in a simple and clean playthrough of Kingdom Hearts.","Kingdom Heartache","2340-27"
"The end of the week is here! You made it! Let's sit back, relax, and close the week out in style with some video games.","Unprofessional Fridays","2340-28"
"Drew Scanlon attempts to go on as many sneaking missions as he can find.","Metal Gear Scanlon","2340-29"
"The road to Halloween is paved in the ghosts of Abby's dignity.","Six Crazy Frights","2340-30"
"What the hell is going on in the world of wrestling these days? Alex and Dan are here to chat about it and play wrestling games.","Get in the Ring","2340-31"
"Abby ""The American Mare"" Russell may be a rookie boxer, but she's got the world's best coach and she's ready to punch her way to the top in the one and only Punch-Out!","Million Dollar Abby","2340-32"
"Discover the best and worst games of the year with your friends from Giant Bomb.","Game of the Year","2340-33"
"Ben and Abby are on both a spiritual and physical journey to match-make the world. Can they find love in this series of Dating Simulators? Or are they both as unf*ckable as ever?","The Dating Games","2340-34"
"One by one, each will die. This will be fun, I cannot lie.","Thirteen Deadly Sims","2340-35"
"After decades of avoiding his sacred duty, Dan finally begins Operation Intrude N313.","Who's The Big Boss?","2340-36"
"Wrestling is about telling stories. Those stories are usually very stupid. Here are some of them.","Gaiden the Ring","2340-37"
"United We Game","Star Spangled Beasters","2340-38"
"Alex makes his hero to journey through Mass Effect","Mass Alex","2340-39"
"The eternal battle between Giant Bomb and the Electronic Three rages on.","E3 vs. GB","2340-40"
"Giant Bomb Presents is giantbomb.com's home for interviews, previews, and more.","Giant Bomb Presents","2340-43"
